date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:39	59305/59305	---MCZ	200	added ('OK')	text/html	etag:W/%2261079155-e7a9%22	https://htmldemo.net/terbay/terbay/index.html	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/index.html	(from )
18:04:40	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jun%202022%2017:04:47%20GMT	https://htmldemo.net/robots.txt		(from )
18:04:40	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2261079176-47e%22	https://htmldemo.net/terbay/terbay/assets/images/favicon.ico	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/images/favicon.ico	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:40	31090/31090	---MCZ	200	added ('OK')	text/css	etag:W/%2261079188-7972%22	https://htmldemo.net/terbay/terbay/assets/css/vendor/fontawesome.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/vendor/fontawesome.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:41	8301/8301	---MCZ	200	added ('OK')	text/css	etag:W/%2261079187-206d%22	https://htmldemo.net/terbay/terbay/assets/css/vendor/pe-icon-7-stroke.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/vendor/pe-icon-7-stroke.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:41	1878/1878	---MCZ	200	added ('OK')	text/css	etag:W/%2261079184-756%22	https://htmldemo.net/terbay/terbay/assets/css/plugins/splitting.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/plugins/splitting.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:41	71756/71756	---MCZ	200	added ('OK')	text/css	etag:W/%2261079183-1184c%22	https://htmldemo.net/terbay/terbay/assets/css/plugins/animate.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/plugins/animate.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:42	30640/30640	---MCZ	200	added ('OK')	text/css	etag:W/%2261079182-77b0%22	https://htmldemo.net/terbay/terbay/assets/css/plugins/jquery-ui.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/plugins/jquery-ui.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:42	3250/3250	---MCZ	200	added ('OK')	text/css	etag:W/%2261079182-cb2%22	https://htmldemo.net/terbay/terbay/assets/css/plugins/nice-select.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/plugins/nice-select.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
18:04:42	13697/13697	---MCZ	200	added ('OK')	text/css	etag:W/%2261079184-3581%22	https://htmldemo.net/terbay/terbay/assets/css/plugins/swiper-bundle.min.css	C:/Users/user/Desktop/construction%20company/htmldemo.net/terbay/terbay/assets/css/plugins/swiper-bundle.min.css	(from https://htmldemo.net/terbay/terbay/index.html)
